AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
71.0,1.0,19.0,1.0,9600.0,29.0,0.0,45.0,1.0,2.0,1.0
58.0,1.0,21.0,1.0,7700.0,28.0,0.0,50.0,1.0,1.0,1.0
57.0,2.0,21.0,1.0,4700.0,28.0,1.0,42.0,2.0,1.0,0.0
35.0,1.0,17.0,1.0,4720.0,17.0,0.0,40.0,2.0,1.0,0.0
33.0,1.0,18.0,1.0,8990.0,13.0,0.0,50.0,1.0,1.0,1.0
52.0,1.0,19.0,1.0,5610.0,28.0,1.0,20.0,2.0,1.0,0.0
20.0,1.0,19.0,5.0,4055.0,28.0,17.0,15.0,1.0,1.0,0.0
48.0,1.0,19.0,1.0,9310.0,28.0,1.0,48.0,1.0,1.0,0.0
30.0,1.0,21.0,1.0,3255.0,28.0,0.0,40.0,2.0,1.0,1.0
27.0,1.0,21.0,5.0,4840.0,28.0,2.0,45.0,1.0,1.0,0.0
19.0,1.0,18.0,5.0,4720.0,28.0,2.0,24.0,2.0,2.0,0.0
17.0,1.0,13.0,5.0,9645.0,28.0,4.0,20.0,2.0,2.0,0.0
45.0,1.0,22.0,1.0,2825.0,28.0,0.0,40.0,2.0,1.0,1.0
33.0,1.0,19.0,1.0,9130.0,28.0,1.0,40.0,1.0,1.0,1.0
51.0,1.0,19.0,1.0,52.0,28.0,1.0,50.0,1.0,1.0,0.0
44.0,1.0,16.0,1.0,7750.0,17.0,1.0,32.0,1.0,2.0,0.0
47.0,1.0,21.0,5.0,4220.0,28.0,5.0,38.0,1.0,1.0,0.0
24.0,1.0,21.0,5.0,3640.0,28.0,2.0,40.0,1.0,1.0,0.0
20.0,1.0,15.0,5.0,9645.0,22.0,2.0,16.0,2.0,1.0,0.0
26.0,1.0,18.0,1.0,7220.0,28.0,1.0,40.0,1.0,1.0,0.0
45.0,1.0,21.0,1.0,5140.0,26.0,0.0,45.0,2.0,1.0,1.0
49.0,1.0,19.0,3.0,8990.0,26.0,0.0,36.0,2.0,2.0,0.0
55.0,1.0,16.0,1.0,4020.0,28.0,1.0,30.0,2.0,1.0,0.0
55.0,2.0,21.0,3.0,3423.0,54.0,13.0,32.0,1.0,1.0,0.0
38.0,6.0,21.0,5.0,2700.0,28.0,0.0,15.0,1.0,1.0,0.0
19.0,1.0,18.0,5.0,4720.0,28.0,17.0,4.0,1.0,1.0,0.0
34.0,1.0,19.0,5.0,4040.0,48.0,0.0,38.0,2.0,1.0,0.0
